curve_id,semester,time_frame,window,stop_loss_sigma,use_elastic_sizing,use_r2,use_ttest,use_anchor,use_slope_limit,use_z_dynamic,total_trades,win_trades_gross,loss_trades_gross,win_trades_net,loss_trades_net,avg_win_pct_gross,avg_loss_pct_gross,avg_win_pct_net,avg_loss_pct_net,win_ratio_gross,win_ratio_net,reward_ratio_gross,reward_ratio_net,profit_factor_gross,profit_factor_net,recovery_factor_gross,recovery_factor_net,sharpe_ratio_gross,sharpe_ratio_net,sortino_ratio_gross,sortino_ratio_net,calmar_ratio_gross,calmar_ratio_net,max_consecutive_wins_gross,max_consecutive_losses_gross,max_consecutive_wins_net,max_consecutive_losses_net,relative_expected_value_gross,relative_expected_value_net,cumulative_monetary_profit_gross,cumulative_monetary_profit_net,trade_time_min,trade_time_max,trade_time_mean,trade_time_median,drawdown_max,drawdown_mean,drawdown_median
S1|30min|W40|σ3.5|R2:0|t:0|Anc:1|Slp:1|Zdyn:0,S1,30min,40,3.5,False,False,False,True,True,False,141,88,53,88,53,0.0031661445075064996,-0.0032477343934303377,0.0030730612869915995,-0.003391928420799711,0.624113475177305,0.624113475177305,0.9748779068605851,0.9059923753541554,1.6123403818397386,1.4984083659528797,7.715861754876194,6.505341272027965,3.5336843794862522,2.9855757916031362,3.468190050655169,2.8491217530410555,16.629457680919582,13.900162538994705,8,6,8,6,0.0007552538567997453,0.0006429587727154336,11129.528871987262,9383.44747602691,30.0,10020.0,1204.6808510638298,390.0,1442.422016562665,226.41952387894477,163.23197912357094
S1|30min|W40|σ3.5|R2:0|t:0|Anc:0|Slp:1|Zdyn:0,S1,30min,40,3.5,False,False,False,False,True,False,141,88,53,88,53,0.0031661445075064996,-0.0032477343934303377,0.0030730612869915995,-0.003391928420799711,0.624113475177305,0.624113475177305,0.9748779068605851,0.9059923753541554,1.6123403818397386,1.4984083659528797,7.715861754876194,6.505341272027965,3.5336843794862522,2.9855757916031362,3.468190050655169,2.8491217530410555,16.629457680919582,13.900162538994705,8,6,8,6,0.0007552538567997453,0.0006429587727154336,11129.528871987262,9383.44747602691,30.0,10020.0,1204.6808510638298,390.0,1442.422016562665,226.41952387894477,163.23197912357094
S1|30min|W40|σ3.5|R2:0|t:0|Anc:0|Slp:1|Zdyn:1,S1,30min,40,3.5,False,False,False,False,True,True,130,78,52,78,52,0.0032951475096901703,-0.0032881422940960183,0.003201499462168803,-0.0034324550315545372,0.6,0.6,1.0021304478236024,0.9327141747633804,1.4934201871359076,1.390585315889251,6.158903592442575,5.048919434951795,2.8947558829773925,2.3787618190155295,2.883453876523004,2.304064212355435,13.125657193687589,10.674523953597273,7,6,7,6,0.0006618315881756948,0.0005479176646794669,8883.73813962606,7282.672552825599,30.0,10020.0,1260.923076923077,420.0,1442.422016562665,238.0356326502012,172.5304294887055
S1|30min|W40|σ3.5|R2:0|t:0|Anc:1|Slp:1|Zdyn:1,S1,30min,40,3.5,False,False,False,True,True,True,130,78,52,78,52,0.0032951475096901703,-0.0032881422940960183,0.003201499462168803,-0.0034324550315545372,0.6,0.6,1.0021304478236024,0.9327141747633804,1.4934201871359076,1.390585315889251,6.158903592442575,5.048919434951795,2.8947558829773925,2.3787618190155295,2.883453876523004,2.304064212355435,13.125657193687589,10.674523953597273,7,6,7,6,0.0006618315881756948,0.0005479176646794669,8883.73813962606,7282.672552825599,30.0,10020.0,1260.923076923077,420.0,1442.422016562665,238.0356326502012,172.5304294887055
S4|30min|W20|σ2.5|R2:1|t:0|Anc:0|Slp:0|Zdyn:1,S4,30min,20,2.5,False,True,False,False,False,True,166,100,66,100,66,0.0016430827085010642,-0.0013264965517688473,0.001536027401066729,-0.0014742174871896527,0.6024096385542169,0.6024096385542169,1.2386633846202297,1.0419272694932595,1.8682295529762942,1.5728166827365735,21.790712457503943,15.799901168689155,4.850384898089885,3.515943891683961,5.587131610723707,3.763922142649376,45.352716045873876,32.53796730643072,8,4,8,4,0.0004624066170684487,0.0003391830479045532,7949.2934436651985,5763.834065350503,30.0,5580.0,428.855421686747,150.0,364.8019062785506,83.44658186259599,56.06759112089574
S4|30min|W20|σ2.5|R2:1|t:0|Anc:1|Slp:0|Zdyn:1,S4,30min,20,2.5,False,True,False,True,False,True,166,100,66,100,66,0.0016430827085010642,-0.0013264965517688473,0.001536027401066729,-0.0014742174871896527,0.6024096385542169,0.6024096385542169,1.2386633846202297,1.0419272694932595,1.8682295529762942,1.5728166827365735,21.790712457503943,15.799901168689155,4.850384898089885,3.515943891683961,5.587131610723707,3.763922142649376,45.352716045873876,32.53796730643072,8,4,8,4,0.0004624066170684487,0.0003391830479045532,7949.2934436651985,5763.834065350503,30.0,5580.0,428.855421686747,150.0,364.8019062785506,83.44658186259599,56.06759112089574
S4|30min|W20|σ2.5|R2:0|t:0|Anc:0|Slp:0|Zdyn:1,S4,30min,20,2.5,False,False,False,False,False,True,186,111,75,111,75,0.0016465264852918273,-0.0014640951042834273,0.0015480693516756,-0.00160268454390805,0.5967741935483871,0.5967741935483871,1.124603504563788,0.9659226811414341,1.6560380913990635,1.423847403088879,14.90866388405043,10.419439077121908,4.1867864882298,2.9288885111060834,4.467202383945508,2.94891526512522,30.967172699673736,21.40552017863567,9,4,9,4,0.00039224358626954703,0.0002776040711983216,7534.266772067532,5265.584778950271,30.0,7440.0,485.48387096774195,165.0,505.3616360704082,91.00939038190072,61.13298710695482
S4|30min|W20|σ2.5|R2:0|t:0|Anc:1|Slp:0|Zdyn:1,S4,30min,20,2.5,False,False,False,True,False,True,186,111,75,111,75,0.0016465264852918273,-0.0014640951042834273,0.0015480693516756,-0.00160268454390805,0.5967741935483871,0.5967741935483871,1.124603504563788,0.9659226811414341,1.6560380913990635,1.423847403088879,14.90866388405043,10.419439077121908,4.1867864882298,2.9288885111060834,4.467202383945508,2.94891526512522,30.967172699673736,21.40552017863567,9,4,9,4,0.00039224358626954703,0.0002776040711983216,7534.266772067532,5265.584778950271,30.0,7440.0,485.48387096774195,165.0,505.3616360704082,91.00939038190072,61.13298710695482
S4|30min|W20|σ2.5|R2:1|t:0|Anc:0|Slp:1|Zdyn:1,S4,30min,20,2.5,False,True,False,False,True,True,164,98,66,98,66,0.0015698278133713644,-0.0012777755889250436,0.0014587878107176348,-0.0014318627734126038,0.5975609756097561,0.5975609756097561,1.2285630019681437,1.0188042023334818,1.817000855586498,1.5078273486914846,22.320309594162755,15.373323494396988,4.638321235180101,3.191813975294514,5.357789179218513,3.392079911504138,46.281176298612486,31.532554382565294,8,4,8,4,0.0004238410783008588,0.00029547720978717303,7172.631402097296,4940.217445700181,30.0,4050.0,404.4512195121951,150.0,321.3499961475935,80.63822970159913,55.140079582241256
S4|30min|W20|σ2.5|R2:1|t:0|Anc:1|Slp:1|Zdyn:1,S4,30min,20,2.5,False,True,False,True,True,True,164,98,66,98,66,0.0015698278133713644,-0.0012777755889250436,0.0014587878107176348,-0.0014318627734126038,0.5975609756097561,0.5975609756097561,1.2285630019681437,1.0188042023334818,1.817000855586498,1.5078273486914846,22.320309594162755,15.373323494396988,4.638321235180101,3.191813975294514,5.357789179218513,3.392079911504138,46.281176298612486,31.532554382565294,8,4,8,4,0.0004238410783008588,0.00029547720978717303,7172.631402097296,4940.217445700181,30.0,4050.0,404.4512195121951,150.0,321.3499961475935,80.63822970159913,55.140079582241256
